Number of Employees T12: 10
Number of Employees ALL: 10
Average Satisfaction Level All
t,w = 0,w = 1,w = 3
68.0, 7067.713786764705, 7067.767115056112, 7067.952079270747
69.0, 7067.07554347826, 7067.274205319081, 7068.36992237209
70.0, 7067.033285714279, 7067.768154331786, 7068.74893322425
71.0, 7069.195633802818, 7068.764825024216, 7069.2746975013215
72.0, 7070.065555555554, 7070.302633895713, 7070.129637487315
73.0, 7071.6467123287675, 7071.301544249728, 7071.051604020497
74.0, 7072.1923648648635, 7072.512481286766, 7072.217758009366
75.0, 7073.6983666666665, 7073.140013580686, 7073.057548418487
76.0, 7073.5293092105285, 7074.141346504519, 7073.684367787585
77.0, 7075.1963636363635, 7074.59994650452, 7073.773422276332
78.0, 7075.074166666665, 7074.907940480756, 7073.85159413867
79.0, 7074.45329113924, 7073.932517185301, 7073.743094893607
80.0, 7072.270093749998, 7073.154317596823, 7073.752190996062
81.0, 7072.739567901233, 7072.649511200816, 7073.466443469778
82.0, 7072.938871951218, 7073.090473926722, 7073.129524702271
83.0, 7073.592981927715, 7073.242661610438, 7072.82165836012
84.0, 7073.196130952379, 7073.168282724738, 7072.89805301324
85.0, 7072.715735294116, 7072.736697663559, 7073.043204027351
86.0, 7072.298226744185, 7072.606272786713, 7073.006218307194
87.0, 7072.804856321837, 7072.952902688675, 7072.67915342863
88.0, 7073.755625000003, 7073.080151077319, 7072.326024831038
89.0, 7072.679971910115, 7072.579708229298, 7072.213396497095
90.0, 7071.303527777777, 7071.569243485707, 7071.947493905377
91.0, 7070.724230769227, 7071.318365167842, 7071.460420965783
92.0, 7071.927336956524, 7071.029492109301, 7070.800752732699
93.0, 7070.4369086021525, 7070.5865304344525, 7070.37929097173
94.0, 7069.39534574468, 7069.656733905084, 7070.185502761944
95.0, 7069.13794736842, 7069.421010898812, 7070.1021432643
96.0, 7069.729739583334, 7069.604899087011, 7069.779028028087
97.0, 7069.947010309277, 7069.9391547261075, 7069.835348227779
98.0, 7070.140714285712, 7069.917751632672
99.0, 7069.6655303030275, 7070.212464862913
100.0, 7070.831149999999
